Estimate.Intercept,Est.Error.Intercept,2.5%ile.Intercept,97.5%ile.Intercept,species_2
-0.01,0.22,-0.45,0.44,Abraxas grossulariata
-0.04,0.22,-0.49,0.39,Acronicta psi
-0,0.22,-0.43,0.45,Acronicta strigosa
-0,0.22,-0.46,0.46,Actina jezoensis
0.03,0.22,-0.42,0.48,Adela cuprella
0.05,0.22,-0.37,0.5,Adelphocoris triannulatus
0.01,0.23,-0.45,0.47,Adoxia obscura
0.08,0.21,-0.33,0.53,Adscita statices
-0.05,0.22,-0.49,0.36,Aedes impiger
-0.13,0.22,-0.58,0.28,Aedes nigripes
0.02,0.23,-0.43,0.48,Agapostemon splendens
0.01,0.21,-0.4,0.44,Agelastica coerulea
-0.03,0.22,-0.47,0.4,Ageneotettix deorum
0,0.23,-0.46,0.45,Agraulis vanillae
-0,0.22,-0.44,0.45,Agriopis marginaria
-0.01,0.23,-0.47,0.44,Allograpta hortensis
0.01,0.22,-0.43,0.45,Allophyes oxycanthae
-0,0.22,-0.46,0.42,Alloscirtetica rufitarsis
0.03,0.22,-0.39,0.48,Amalaraeus arvicolae
0.02,0.23,-0.44,0.47,Amalaraeus ioffi
-0.3,0.16,-0.63,-0.01,Amalaraeus penicilliger
0.04,0.22,-0.39,0.49,Amegilla canifrons
0.05,0.22,-0.39,0.51,Amegilla quadrifasciata
0.06,0.23,-0.4,0.54,Amphalius runatus
0,0.21,-0.41,0.43,Amphipsylla anceps
0.01,0.22,-0.41,0.45,Amphipsylla asiatica
0.15,0.22,-0.25,0.61,Amphipsylla dumalis
0.09,0.23,-0.35,0.56,Amphipsylla georgica
0.07,0.22,-0.36,0.54,Amphipsylla kalabukhovi
0.08,0.2,-0.31,0.48,Amphipsylla kuznetzovi
-0.07,0.22,-0.52,0.35,Amphipsylla longispina
0.08,0.22,-0.34,0.54,Amphipsylla marikovskii
0.02,0.22,-0.43,0.46,Amphipsylla montana
-0.01,0.22,-0.46,0.44,Amphipsylla phaiomydis
0.05,0.22,-0.38,0.49,Amphipsylla prima
-0.09,0.19,-0.47,0.26,Amphipsylla primaris
0.04,0.17,-0.29,0.38,Amphipsylla rossica
0.09,0.21,-0.32,0.51,Amphipsylla schelkovnikovi
0.02,0.18,-0.35,0.38,Amphipsylla sibirica
-0.07,0.2,-0.48,0.31,Amphipsylla vinogradovi
0.03,0.22,-0.41,0.48,Anarta myrtilli
0.02,0.22,-0.42,0.49,Anarta richardsoni
0.04,0.23,-0.4,0.5,Anaspis flava
0.03,0.22,-0.41,0.49,Anaspis frontalis
-0,0.22,-0.43,0.42,Anaspis funagata
-0.01,0.23,-0.46,0.42,Anaspis rufilabris
0.01,0.22,-0.43,0.46,Andinus venustus
0.08,0.23,-0.35,0.56,Andrena akitsushimae
-0.07,0.22,-0.52,0.37,Andrena carlini
0.02,0.22,-0.43,0.49,Andrena clarkella
0.02,0.22,-0.43,0.47,Andrena dentata
0.06,0.22,-0.36,0.52,Andrena fulva
0.02,0.23,-0.43,0.48,Andrena fuscipes
0.03,0.21,-0.38,0.46,Andrena haemorrhoa
0.05,0.22,-0.37,0.5,Andrena halictoides
0.01,0.21,-0.4,0.43,Andrena hikosana
-0,0.22,-0.45,0.43,Andrena ishiharai
0.01,0.22,-0.44,0.44,Andrena kaguya
0.14,0.21,-0.26,0.58,Andrena Knuthi
0.01,0.22,-0.45,0.45,Andrena komachi
0.04,0.21,-0.38,0.48,Andrena lapponica
-0.03,0.21,-0.46,0.4,Andrena minutula
0,0.23,-0.47,0.46,Andrena miyamotoi
-0.01,0.23,-0.47,0.46,Andrena nigroaenea
-0,0.22,-0.45,0.46,Andrena opacifovea opacifovea
-0.01,0.23,-0.46,0.44,Andrena personata
0.05,0.23,-0.39,0.49,Andrena protomias
-0.03,0.22,-0.48,0.4,Andrena pubescens
0.01,0.22,-0.41,0.46,Andrena sublevigata
0.03,0.23,-0.41,0.5,Andrena tarsata
-0.01,0.23,-0.49,0.45,Andrena tridens
0.04,0.22,-0.39,0.49,Andrena tsukubana
0.01,0.22,-0.42,0.46,Andrena yamamotoi
-0,0.23,-0.46,0.45,Angerona prunaria
0,0.23,-0.46,0.44,Anoploderomorpha excavata
0,0.22,-0.45,0.45,Antherophagus nigricornis
0.02,0.22,-0.42,0.46,Anthidium funereum
0.04,0.22,-0.41,0.49,Anthophora alluardii
0.03,0.22,-0.41,0.46,Anthophora orotavae
0.01,0.23,-0.44,0.45,Anthrax hypomelas
0.01,0.22,-0.44,0.45,Anthrax sinuosa
-0.1,0.23,-0.58,0.33,Aphantopus hyperantus
0.04,0.23,-0.41,0.51,Apion aeneum
0.06,0.23,-0.39,0.53,Apion flavipes
0.04,0.23,-0.41,0.51,Apion hookeri
0.02,0.23,-0.45,0.5,Apion meliloti
0.05,0.23,-0.39,0.52,Apion rufirostre
-0.01,0.22,-0.45,0.41,Apis cerana
0.05,0.22,-0.36,0.49,Apis cerana japonica
-0.44,0.21,-0.87,-0.03,Apis mellifera
-0,0.22,-0.43,0.45,Aplotarsus incanus
-0.01,0.22,-0.43,0.42,Apocheima pilosaria
-0,0.22,-0.43,0.43,Aporia crataegi
0,0.22,-0.45,0.47,Appis mellifera
0.05,0.22,-0.4,0.48,Arge similis
0.03,0.22,-0.39,0.49,Arphia crassa
0,0.22,-0.45,0.46,Asilis pilicomis
0.02,0.22,-0.41,0.46,Athalia japonica
-0.03,0.23,-0.5,0.43,Athous subfuscus
0.03,0.22,-0.41,0.47,Atyphloceras nuperus
0.04,0.21,-0.38,0.48,Auca coctei
-0.05,0.23,-0.51,0.38,Augochlora pura
0.03,0.21,-0.39,0.46,Aulocara femoratum
0,0.23,-0.47,0.47,Austrocidaria similata
0.03,0.23,-0.43,0.49,Autographa bractea
0.02,0.23,-0.43,0.48,Avibrissina brevivalpis
0.01,0.23,-0.45,0.47,Avibrissina isolata
0.03,0.21,-0.38,0.46,Baccha maculata
-0.09,0.22,-0.56,0.33,Bellardia vulgaris
-0,0.22,-0.47,0.46,Betasyrphus seraius
0.06,0.22,-0.37,0.52,Bibio lanigerus
0.04,0.22,-0.39,0.49,Biston betularia
-0,0.22,-0.46,0.45,Blepharita satura
0.05,0.22,-0.38,0.48,Blitopertha orientalis
0.02,0.19,-0.36,0.41,Bombus ardens
-0.06,0.22,-0.5,0.37,Bombus bohemicus
0.03,0.21,-0.38,0.47,Bombus dahlbomii
-0.04,0.21,-0.47,0.37,Bombus diversus
-0.24,0.22,-0.7,0.15,Bombus diversus diversus
-0.15,0.21,-0.6,0.25,Bombus honshuensis
-0.06,0.2,-0.47,0.34,Bombus hortorum
-0.01,0.19,-0.41,0.36,Bombus hypocrita hypocrita
0.02,0.22,-0.42,0.46,Bombus ignitus
-0.01,0.21,-0.44,0.41,Bombus jonellus
-0.25,0.21,-0.69,0.11,Bombus lapidarius
-0.14,0.22,-0.61,0.26,Bombus lucorum
-0.35,0.22,-0.81,0.04,Bombus pascuorum
0,0.23,-0.45,0.46,Bombus pennsylvanicus
0,0.21,-0.41,0.42,Bombus pratorum
